timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260820074436,0.5,0.5,0,0,0,./datasets/libio,alex,3321039,75000000,1603282424,1,0,224,400,656,928,6064,16400,240.472,80,352,608,992,12832,70368,256208,446.156,5,100,29360.8,2.31604e+06,1,0,0,64,200000000
20260820074452,0.5,0.5,0,0,0,./datasets/libio,alex,3055917,100000000,2161846096,1,0,224,448,720,1008,6224,36192,251.122,80,384,640,1152,13312,100080,471504,490.735,5,100,38923.4,6.90427e+06,1,0,0,64,200000000
20260820074551,0.5,0.5,0,0,0,./datasets/libio,alex,2845428,125000000,3081841024,1,0,240,464,768,1056,6048,39056,260.638,64,384,672,1216,24048,160768,727952,539.429,5,100,43384.6,1.72998e+07,1,0,0,64,200000000
20260820074607,0.5,0.5,0,0,0,./datasets/libio,alex,3151558,150000000,3151888504,1,0,240,480,768,1072,7840,224864,259.732,80,400,688,1280,2336,31376,160480,473.088,5,100,282941,859671,1,0,0,64,200000000
20260820074727,0.5,0.5,0,0,0,./datasets/libio,alex,2412720,175000000,4607101072,1,0,272,512,832,1152,6800,77072,292.254,80,416,752,1440,37200,288784,1.06784e+06,636.748,5,100,80537.5,3.57336e+07,1,0,0,64,200000000
20260820074742,0.5,0.5,0,0,0,./datasets/libio,alex,3349643,200000000,4619424168,1,0,208,448,784,1088,6528,93232,216.735,32,384,640,1200,2032,10224,220720,444.637,5,100,78972.2,301446,1,0,0,64,200000000
20260820093103,0.5,0.5,0,0,0,./datasets/libio,lipp,4489457,75000000,5996328332,1,0,48,128,448,912,6992,67072,72.4658,0,128,416,1280,2960,7024,13472,191.178,5,100,52165,85479.9,1,0,0,64,200000000
20260820093121,0.5,0.5,0,0,0,./datasets/libio,lipp,3506147,100000000,8380274868,1,0,32,128,576,1152,6736,55696,80.3133,0,192,528,2480,5280,7664,69664,294.012,5,100,56975.3,275126,1,0,0,64,200000000
20260820093155,0.5,0.5,0,0,0,./datasets/libio,lipp,4798885,125000000,9088383872,1,0,32,128,384,640,5968,41200,68.8008,0,112,352,1104,2080,6432,56496,170.874,5,100,21584.6,91866.9,1,0,0,64,200000000
20260820093212,0.5,0.5,0,0,0,./datasets/libio,lipp,3893311,150000000,11274601426,1,0,32,128,432,896,8432,29792,80.7581,0,144,432,2512,5472,9792,65952,254.877,5,100,58479.3,278540,1,0,0,64,200000000
20260820093257,0.5,0.5,0,0,0,./datasets/libio,lipp,4468100,175000000,11424675496,1,0,16,128,320,480,6096,24768,62.2276,0,32,304,2512,5184,6544,49840,183.675,5,100,20378.2,196486,1,0,0,64,200000000
20260820093313,0.5,0.5,0,0,0,./datasets/libio,lipp,4336884,200000000,13452158560,1,0,32,128,352,640,8448,28416,73.3973,0,112,320,2480,5504,9792,78976,214.391,5,100,60605.4,300753,1,0,0,64,200000000
20260820093517,0.5,0.5,0,0,0,./datasets/libio,dili,3382178,75000000,1793151912,1,0,288,480,752,1040,6528,15008,232.916,16,320,544,1648,3360,6768,70224,296.853,5,100,59098.9,138530,1,0,0,64,200000000
20260820093535,0.5,0.5,0,0,0,./datasets/libio,dili,2977873,100000000,3138904392,1,0,352,544,832,1152,6448,318624,305.521,16,368,624,2224,4016,7168,97968,394.717,5,100,649675,205626,1,0,0,64,200000000
20260820093615,0.5,0.5,0,0,0,./datasets/libio,dili,3368524,125000000,2453886392,1,0,16,496,784,1072,6944,23248,184.594,16,48,480,928,3184,6688,4.83275e+06,248.568,5,100,68072.2,9.24235e+07,1,0,0,64,200000000
20260820093631,0.5,0.5,0,0,0,./datasets/libio,dili,3294662,150000000,3278524712,1,0,32,528,832,1136,6352,288800,233.211,16,336,544,1232,3344,6672,28416,281.245,5,100,410738,118442,1,0,0,64,200000000
20260820093723,0.5,0.5,0,0,0,./datasets/libio,dili,3276153,175000000,3218358312,1,0,16,496,784,1088,6496,19392,142.446,16,32,448,880,3280,6992,6.01363e+06,212.505,5,100,65286.7,1.43652e+08,1,0,0,64,200000000
20260820093739,0.5,0.5,0,0,0,./datasets/libio,dili,3377408,200000000,3914218872,1,0,16,528,816,1152,6224,1.04762e+06,173.036,16,32,464,976,3296,6368,10432,211.967,5,100,4.41786e+06,98437.7,1,0,0,64,200000000
20260820093955,0.5,0.5,0,0,0,./datasets/libio,artunsync,2499156,75000000,4256159640,1,16,176,512,784,1040,5904,35952,239.076,32,64,416,3152,6320,12032,46368,251.645,5,100,70411.6,290197,1,0,0,64,200000000
20260820094017,0.5,0.5,0,0,0,./datasets/libio,artunsync,2351738,100000000,6798208296,1,16,432,624,880,1168,6896,36560,407.286,32,336,528,3392,6880,9024,69840,404.154,5,100,67842,455518,1,0,0,64,200000000
20260820094057,0.5,0.5,0,0,0,./datasets/libio,artunsync,2740831,125000000,7748270976,1,16,32,544,832,1120,6160,57520,210.842,32,64,416,2528,5152,8288,45312,225.206,5,100,92243.4,195775,1,0,0,64,200000000
20260820094116,0.5,0.5,0,0,0,./datasets/libio,artunsync,2900640,150000000,8302603280,1,16,32,432,768,1056,6592,23696,129.303,32,48,352,1680,4336,7568,14192,155.179,5,100,53193.4,130978,1,0,0,64,200000000
20260820094204,0.5,0.5,0,0,0,./datasets/libio,artunsync,2910099,175000000,8708853056,1,16,32,352,688,992,6640,20432,92.5704,32,48,288,1328,3984,7264,1.25687e+07,173.487,5,100,43005.6,6.26469e+08,1,0,0,64,200000000
20260820094223,0.5,0.5,0,0,0,./datasets/libio,artunsync,2987875,200000000,9036149728,1,16,32,176,672,992,5936,39824,73.8207,32,48,208,1216,3872,6736,3.45491e+06,122.815,5,100,39265.4,4.73947e+07,1,0,0,64,200000000
20260820094437,0.5,0.5,0,0,0,./datasets/libio,btree,1566722,75000000,0,1,144,560,752,992,1280,6960,16960,585.605,176,656,896,2896,6080,8864,41152,714.068,5,100,36397.6,172378,1,0,0,64,200000000
20260820094511,0.5,0.5,0,0,0,./datasets/libio,btree,1458775,100000000,0,1,144,608,816,1072,1440,8560,39184,633.855,176,704,960,1392,6448,10064,47488,766.986,5,100,72070,179055,1,0,0,64,200000000
20260820094559,0.5,0.5,0,0,0,./datasets/libio,btree,1391578,125000000,0,1,144,640,848,1104,1392,7584,78736,662.776,224,736,1024,1856,5904,8944,129984,798.131,5,100,74774.4,209883,1,0,0,64,200000000
20260820094635,0.5,0.5,0,0,0,./datasets/libio,btree,1389232,150000000,0,1,144,656,880,1136,1424,7504,24672,683.169,192,736,992,1296,6064,9456,76064,786.094,5,100,47306.5,164051,1,0,0,64,200000000
20260820094734,0.5,0.5,0,0,0,./datasets/libio,btree,1264187,175000000,0,1,144,672,896,1152,1456,7584,28000,703.837,208,784,1072,3408,6480,10384,305712,885.374,5,100,54338.9,689655,1,0,0,64,200000000
20260820094812,0.5,0.5,0,0,0,./datasets/libio,btree,1314904,200000000,0,1,160,688,928,1184,1488,8320,46496,725.451,224,768,1024,1328,6128,9360,70160,821.09,5,100,69270.6,167122,1,0,0,64,200000000
