timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260612093357,0.5,0.5,0,0,0,./datasets/libio,btree,1553764,75000000,0,1,144,560,768,1008,1312,7776,258080,596.596,176,656,896,2912,6208,8400,58480,717.299,42,100,312836,187489,1,0,0,64,200000000
20260612093432,0.5,0.5,0,0,0,./datasets/libio,btree,1448955,100000000,0,1,128,608,832,1072,1376,8304,1.6939e+06,651.113,192,720,976,1392,6080,9360,17952,772.795,42,100,1.14158e+07,151053,1,0,0,64,200000000
20260612093508,0.5,0.5,0,0,0,./datasets/libio,btree,1393382,125000000,0,1,112,640,864,1120,1424,8544,39856,671.636,208,752,992,1424,6096,9968,4.75821e+06,819.433,42,100,60446.2,8.98306e+07,1,0,0,64,200000000
20260612093545,0.5,0.5,0,0,0,./datasets/libio,btree,1328558,150000000,0,1,144,672,912,1152,1424,8304,302000,706.208,176,784,1040,1472,6208,8976,59520,834.489,42,100,410225,182016,1,0,0,64,200000000
20260612093625,0.5,0.5,0,0,0,./datasets/libio,btree,1278415,175000000,0,1,144,704,944,1200,1520,8608,191152,734.295,176,800,1072,1520,6288,10096,22832,863.205,42,100,210414,163628,1,0,0,64,200000000
20260612093706,0.5,0.5,0,0,0,./datasets/libio,btree,1226850,200000000,0,1,160,736,976,1248,1584,8480,36880,767.176,208,848,1104,1552,6240,10192,76384,896.303,42,100,68580.5,192275,1,0,0,64,200000000
20260612093730,0.5,0.5,0,0,0,./datasets/libio,artunsync,2522810,75000000,4257064012,1,16,176,512,800,1072,6000,9504,239.088,16,48,416,3184,6288,9408,66560,251.862,42,100,62171.6,324596,1,0,0,64,200000000
20260612093753,0.5,0.5,0,0,0,./datasets/libio,artunsync,2353014,100000000,6799867056,1,16,432,608,880,1168,6432,45792,410.659,16,320,512,3408,7216,10128,66144,393.224,42,100,66304.9,452837,1,0,0,64,200000000
20260612093814,0.5,0.5,0,0,0,./datasets/libio,artunsync,2730328,125000000,7748324528,1,16,32,544,832,1088,7120,27216,214.223,16,64,400,2480,5712,8576,25440,222.031,42,100,74279,190690,1,0,0,64,200000000
20260612093833,0.5,0.5,0,0,0,./datasets/libio,artunsync,2917621,150000000,8302669428,1,16,32,448,752,1056,6496,18352,128.035,16,48,336,1616,4336,8448,66736,154.158,42,100,54304,168157,1,0,0,64,200000000
20260612093852,0.5,0.5,0,0,0,./datasets/libio,artunsync,2984966,175000000,8708515116,1,16,32,368,704,1008,6288,15600,93.6662,16,48,288,1248,4176,8304,61280,123.604,42,100,40575.1,130137,1,0,0,64,200000000
20260612093911,0.5,0.5,0,0,0,./datasets/libio,artunsync,2964897,200000000,9036149728,1,16,32,48,672,976,7376,16064,76.9583,16,48,256,1104,3888,7296,66192,107.54,42,100,39501.3,107382,1,0,0,64,200000000
20260612093942,0.5,0.5,0,0,0,./datasets/libio,alex,3343141,75000000,1601104112,1,0,224,400,656,928,6928,24000,236.953,64,368,608,992,10272,96192,446560,458.105,42,100,32916.6,5.05826e+06,1,0,0,64,200000000
20260612093958,0.5,0.5,0,0,0,./datasets/libio,alex,3090528,100000000,2160080920,1,0,224,432,720,1024,7088,10864,247.86,64,384,656,1136,12928,152048,1.09958e+06,503.564,42,100,35236.7,1.50726e+07,1,0,0,64,200000000
20260612094015,0.5,0.5,0,0,0,./datasets/libio,alex,2979141,125000000,2742770000,1,0,224,464,752,1072,8528,16544,251.403,64,384,672,1200,8336,104032,451104,495.52,42,100,46490.2,5.91914e+06,1,0,0,64,200000000
20260612094034,0.5,0.5,0,0,0,./datasets/libio,alex,2669412,150000000,3648863288,1,0,256,496,800,1120,7184,35488,267.86,64,400,720,1392,21472,248416,872896,585.503,42,100,57286.5,2.99395e+07,1,0,0,64,200000000
20260612094051,0.5,0.5,0,0,0,./datasets/libio,alex,3044519,175000000,3735558720,1,0,240,480,800,1136,7584,51264,257.935,80,400,720,1440,2336,31872,309680,492.898,42,100,64018.6,2.16062e+06,1,0,0,64,200000000
20260612094111,0.5,0.5,0,0,0,./datasets/libio,alex,2490777,200000000,4863720744,1,0,272,528,848,1184,8496,30752,267.956,48,432,736,1520,27040,289456,2.34718e+06,639.925,42,100,62610,7.50222e+07,1,0,0,64,200000000
20260612094131,0.5,0.5,0,0,0,./datasets/libio,lipp,4710404,75000000,5996781338,1,0,48,128,496,960,6784,28432,73.6496,0,128,384,1216,3616,7120,802816,193.479,42,100,27127.5,2.64721e+06,1,0,0,64,200000000
20260612094149,0.5,0.5,0,0,0,./datasets/libio,lipp,3584915,100000000,8379952694,1,0,32,128,800,1232,6976,39424,84.0704,0,192,528,2528,5376,8032,69424,301.269,42,100,41260.9,268187,1,0,0,64,200000000
20260612094211,0.5,0.5,0,0,0,./datasets/libio,lipp,3167494,125000000,10862505064,1,0,32,128,896,1344,7216,34528,86.7665,0,208,592,2768,5536,8688,65584,339.593,42,100,50494.2,313393,1,0,0,64,200000000
20260612094235,0.5,0.5,0,0,0,./datasets/libio,lipp,2959399,150000000,13317038406,1,0,16,128,976,1408,6688,39904,91.0201,0,224,624,2624,5552,8128,68864,365.243,42,100,61094.4,331431,1,0,0,64,200000000
20260612094303,0.5,0.5,0,0,0,./datasets/libio,lipp,2805173,175000000,15669827678,1,0,16,144,1040,1440,6912,26320,99.1721,0,240,672,2656,5488,8272,294944,389.49,42,100,65602.3,645053,1,0,0,64,200000000
