timestamp,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,table_size,memory_consumption,thread_num,r_min,r_p50,r_p90,r_p99,r_p999,r_p9999,r_max,r_avg,w_min,w_p50,w_p90,w_p99,w_p999,w_p9999,w_max,w_avg,seed,scan_num,r_var,w_var,latency_sample,data_shift,pgm,error_bound,file_table_size
20260820125730,0.5,0.5,0,0,0,./datasets/planet,alex,2101949,75000000,1675679160,1,0,400,656,944,1280,8112,40576,430.707,96,544,912,1488,16176,53600,328144,673.043,5,100,62229.9,2.26491e+06,1,0,0,64,200000000
20260820125756,0.5,0.5,0,0,0,./datasets/planet,alex,1910415,100000000,2248431376,1,0,432,704,1008,1296,6784,14256,467.862,96,592,1024,1632,18752,97536,427392,746.832,5,100,48637.9,5.73051e+06,1,0,0,64,200000000
20260820125824,0.5,0.5,0,0,0,./datasets/planet,alex,1822107,125000000,2790778720,1,0,464,736,1040,1376,7312,39456,491.693,112,624,1072,1680,17456,106832,861856,777.525,5,100,70379.7,9.35699e+06,1,0,0,64,200000000
20260820125854,0.5,0.5,0,0,0,./datasets/planet,alex,1641948,150000000,3669114296,1,0,496,768,1088,1408,6800,33680,518.007,96,672,1184,1904,25120,119664,630992,857.922,5,100,57476.4,1.0176e+07,1,0,0,64,200000000
20260820125925,0.5,0.5,0,0,0,./datasets/planet,alex,1651429,175000000,3879087736,1,0,512,784,1104,1456,8160,62592,534.967,96,720,1264,1952,10656,86224,406112,845.184,5,100,96298.4,4.33641e+06,1,0,0,64,200000000
20260820125957,0.5,0.5,0,0,0,./datasets/planet,alex,1538608,200000000,4873205600,1,0,512,800,1120,1504,7024,1.89597e+07,618.705,128,704,1264,2048,32560,185088,1.05122e+06,927.686,5,100,1.42229e+09,2.03172e+07,1,0,0,64,200000000
20260820130124,0.5,0.5,0,0,0,./datasets/planet,lipp,2617907,75000000,9181272428,1,0,16,624,1056,1936,8704,1.18772e+07,214.357,0,416,816,1792,5568,8640,32720,460.819,5,100,5.59954e+08,195010,1,0,0,64,200000000
20260820130153,0.5,0.5,0,0,0,./datasets/planet,lipp,2079093,100000000,11098425230,1,0,112,880,1376,1888,7088,35104,323.027,0,528,1072,3008,5712,7696,2.09631e+07,722.31,5,100,171650,1.74215e+09,1,0,0,64,200000000
20260820130227,0.5,0.5,0,0,0,./datasets/planet,lipp,1874390,125000000,12936762630,1,0,368,1056,1536,2080,7280,304784,423.733,0,592,1152,3072,5968,9264,69360,689.332,5,100,588608,363898,1,0,0,64,200000000
20260820130305,0.5,0.5,0,0,0,./datasets/planet,lipp,1738702,150000000,14755312924,1,0,400,1136,1648,2208,7296,38240,494.604,0,640,1232,3120,6080,9104,60016,723.604,5,100,252127,371010,1,0,0,64,200000000
20260820130346,0.5,0.5,0,0,0,./datasets/planet,lipp,1632624,175000000,16565083860,1,0,464,1216,1760,5024,9120,47632,556.594,0,688,1296,3200,6496,9568,118864,761.637,5,100,301588,461336,1,0,0,64,200000000
20260820130431,0.5,0.5,0,0,0,./datasets/planet,lipp,1568120,200000000,18369631160,1,0,528,1280,1808,2512,8096,42816,598.084,0,720,1360,3232,6224,9456,73232,792.775,5,100,296557,455878,1,0,0,64,200000000
20260820130556,0.5,0.5,0,0,0,./datasets/planet,dili,2630068,75000000,2238424472,1,0,368,592,880,1200,5392,64288,324.648,16,400,688,2560,4320,7312,2.4528e+06,480.594,5,100,76625.2,2.3977e+07,1,0,0,64,200000000
20260820130619,0.5,0.5,0,0,0,./datasets/planet,dili,2300776,100000000,3412312872,1,0,384,688,1024,1440,6944,48208,383.258,16,448,800,2736,4656,7536,54208,547.721,5,100,95117.4,184957,1,0,0,64,200000000
20260820130645,0.5,0.5,0,0,0,./datasets/planet,dili,2073884,125000000,4618837592,1,0,400,752,1152,1600,6736,21968,420.348,16,512,912,2816,5344,7680,16752,609.969,5,100,93769.8,208450,1,0,0,64,200000000
20260820130714,0.5,0.5,0,0,0,./datasets/planet,dili,1889912,150000000,5762731272,1,0,448,832,1264,4912,8608,51056,461.517,16,576,1008,2928,6192,9744,66800,665.849,5,100,153663,295965,1,0,0,64,200000000
