timestamp,index_type,batch_index,n_keys,rebuild_ns
20260820074533,alex,1,100000000,2.9889e+10
20260820074706,alex,3,150000000,4.28717e+10
20260820074902,alex,5,200000000,5.68149e+10
20260820093142,lipp,1,100000000,7.42838e+09
20260820093242,lipp,3,150000000,1.02257e+10
20260820093351,lipp,5,200000000,1.21009e+10
20260820093559,dili,1,100000000,1.48446e+10
20260820093708,dili,3,150000000,2.07924e+10
20260820093827,dili,5,200000000,2.5966e+10
20260820094037,artunsync,1,100000000,9.45404e+09
20260820094145,artunsync,3,150000000,1.29627e+10
20260820094302,artunsync,5,200000000,1.61291e+10
20260820094523,btree,1,100000000,2.00634e+09
20260820094655,btree,3,150000000,3.01935e+09
20260820094839,btree,5,200000000,3.93614e+09
