timestamp,index_type,batch_index,n_keys,rebuild_ns
20260820131925,alex,1,100000000,4.17536e+10
20260820132142,alex,3,150000000,6.25243e+10
20260820132433,alex,5,200000000,8.45998e+10
20260820132703,lipp,1,100000000,1.28795e+10
20260820132837,lipp,3,150000000,1.89415e+10
20260820133027,lipp,5,200000000,2.51876e+10
20260820133254,dili,1,100000000,1.94225e+10
20260820133424,dili,3,150000000,2.82144e+10
20260820133612,dili,5,200000000,3.69884e+10
20260820133826,artunsync,1,100000000,9.20218e+09
20260820133946,artunsync,3,150000000,1.37269e+10
20260820134120,artunsync,5,200000000,1.81759e+10
20260820134341,btree,1,100000000,2.00667e+09
20260820134512,btree,3,150000000,2.97768e+09
20260820134655,btree,5,200000000,3.97302e+09
